0,project,baseline_type,compare_type
<Operation Update: com.google.cloud.tools.appengine.operations.cloudsdk.process.LegacyProcessHandler to com.google.cloud.tools.managedcloudsdk.components.SdkUpdater>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.cloudsdk.process.LegacyProcessHandler$Builder to com.google.cloud.tools.managedcloudsdk.components.BundledPythonCopier>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.cloudsdk.process.ProcessOutputLineListener to com.google.cloud.tools.managedcloudsdk.components.SdkComponentInstaller$1>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.cloudsdk.process.ProcessExitListener to com.google.cloud.tools.managedcloudsdk.command.CommandExecutionException>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.cloudsdk.process.LegacyProcessHandler$4 to com.google.cloud.tools.managedcloudsdk.components.SdkComponentInstaller>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.cloudsdk.process.ProcessStartListener to com.google.cloud.tools.managedcloudsdk.command.CommandCaller>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.cloudsdk.process.LegacyProcessHandler$2 to com.google.cloud.tools.managedcloudsdk.command.CommandExitException>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.cloudsdk.process.LegacyProcessHandler$1 to com.google.cloud.tools.managedcloudsdk.components.SdkUpdater$1>,aep-core-0.10.0,original,hmd
<Operation Insert: Mcom.google.cloud.tools.managedcloudsdk.components.WindowsBundledPythonCopier>,aep-core-0.10.0,original,hmd
<Operation Insert: Mcom.google.cloud.tools.managedcloudsdk.install.FileResourceProviderFactory$1>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.cloudsdk.process.LegacyProcessHandler$3 to com.google.cloud.tools.appengine.configuration.DeployProjectConfigurationConfiguration>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.cloudsdk.process.LegacyProcessHandler$Builder$DevAppServerAsyncOutputWatcherFactory to com.google.cloud.tools.appengine.configuration.DeployProjectConfigurationConfiguration$Builder>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.cloudsdk.process.NonZeroExceptionExitListener to com.google.cloud.tools.appengine.configuration.DeployProjectConfigurationConfiguration$1>,aep-core-0.10.0,original,hmd
<Operation Insert: Mcom.google.cloud.tools.appengine.configuration.DeployProjectConfigurationConfiguration$Builder>,aep-core-0.10.0,original,hmd
<Operation Remove: Mcom.google.cloud.tools.appengine.operations.cloudsdk.process>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.cloudsdk.serialization.CloudSdkComponent to com.google.cloud.tools.managedcloudsdk.command.AsyncStreamSaverFactory>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.cloudsdk.serialization.CloudSdkConfig to com.google.cloud.tools.managedcloudsdk.command.AsyncStreamSaverFactory$CollectingByteHandler>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.cloudsdk.serialization.CloudSdkVersion to com.google.cloud.tools.managedcloudsdk.command.ByteHandler>,aep-core-0.10.0,original,hmd
