projectName,original_numberOfNodes,original_numberOfEdges,original_numberOfPackages,original_avgClassesPerPackage,original_singlePackageCommitRatio,original_avgPackageCommit,mq_distance_mean,mq_normalized_distance_mean,mq_numberOfEdges_mean,mq_numberOfPackages_mean,mq_avgClassesPerPackage_mean,mq_singlePackageCommitRatio_mean,mq_avgPackageCommit_mean,mq_iterations,hmd_distance,hmd_normalized_distance,hmd_numberOfEdges,hmd_numberOfPackages,hmd_avgClassesPerPackage,hmd_singlePackageCommitRatio,hmd_avgPackageCommit,crg_distance_25,crg_distance_50,crg_distance_75,crg_normalized_distance_25,crg_normalized_distance_50,crg_normalized_distance_75,crg_numberOfEdges_25,crg_numberOfEdges_50,crg_numberOfEdges_75,crg_numberOfPackages_25,crg_numberOfPackages_50,crg_numberOfPackages_75,crg_avgClassesPerPackage_25,crg_avgClassesPerPackage_50,crg_avgClassesPerPackage_75,crg_singlePackageCommitRatio_25,crg_singlePackageCommitRatio_50,crg_singlePackageCommitRatio_75,crg_avgPackageCommit_25,crg_avgPackageCommit_50,crg_avgPackageCommit_75
elasticsearch-core-9.1.0,63,53,3,21,0.979439,1.02243,104.46666666666667,0.6102252134594478,49.46666666666667,37.166666666666664,1.70455,0.8388784666666667,1.4832399666666667,30,89,0.5668789808917197,51,17,3.7059,0.869159,1.274766,71,79,83,0.5107913669064749,0.5448275862068965,0.5496688741721855,704,447,279,5,8,11,12.6,7.875,5.7273,0.895327,0.884112,0.878505,1.13271,1.228037,1.248598
jgit-lfs-6.8.0,41,64,4,10.25,0.79085,1.294118,67.2,0.5975892622781374,73.03333333333333,21.433333333333334,1.92654,0.7115465333333333,1.7559913,30,51,0.5204081632653061,80,6,6.8333,0.784314,1.379085,46,52,55,0.4842105263157895,0.5360824742268041,0.5445544554455446,275,208,209,4,4,7,10.25,10.25,5.8571,0.771242,0.816993,0.72549,1.366013,1.24183,1.431373
jmetal-lab-6.2.2,54,29,13,4.1538,0.691525,1.667797,94.4,0.6170138513802711,107.9,25.966666666666665,2.1077600000000003,0.4934462333333333,2.817175166666667,30,83,0.5763888888888888,156,11,4.9091,0.627119,1.650847,78,75,74,0.5777777777777777,0.5681818181818182,0.5481481481481482,439,440,306,5,4,6,10.8,13.5,9,0.823729,0.786441,0.762712,1.220339,1.254237,1.349153
lucene-codecs-11.0.0,207,508,8,25.875,0.712963,1.535185,317.7,0.5925186039205785,391.3333333333333,108.16666666666667,1.9168800000000001,0.5241357333333333,2.998024733333333,30,271,0.5599173553719008,441,42,4.9286,0.535185,2.662963,222,225,233,0.5138888888888888,0.5125284738041003,0.5235955056179775,6383,5045,3054,4,9,12,51.75,23,17.25,0.598148,0.618519,0.653704,1.446296,1.512963,1.611111
junit-platform-launcher-1.10.1,115,186,6,19.1667,0.75,1.36,181.06666666666666,0.6010271102105256,229.33333333333334,60.2,1.92313,0.6040833333333333,2.656416666666667,30,155,0.5656934306569343,216,26,4.4231,0.635,2.0975,129,132,133,0.516,0.5217391304347826,0.5236220472440944,1608,1648,960,6,8,10,19.1667,14.375,11.5,0.7425,0.855,0.7025,1.345,1.22,1.4825
log4j-jpa-2.21.1,23,18,2,11.5,0.75,1.25,42.96666666666667,0.6121685936917058,20.9,13.166666666666666,1.7717433333333334,0.5821429666666667,2.0888889,30,40,0.6060606060606061,23,5,4.6,0.595238,1.630952,35,35,35,0.5384615384615384,0.546875,0.5384615384615384,71,58,44,5,5,6,4.6,4.6,3.8333,0.75,0.642857,0.714286,1.5,1.583333,1.547619
joda-money-2.0.3,28,76,2,14,0.869281,1.130719,43.6,0.5778708108772038,58.766666666666666,13.4,2.1311933333333335,0.5832241666666667,2.1431372,30,38,0.5588235294117647,58,5,5.6,0.705882,1.575163,34,34,36,0.5074626865671642,0.5074626865671642,0.5294117647058824,108,100,83,4,5,5,7,5.6,5.6,0.718954,0.751634,0.764706,1.45098,1.437908,1.411765
aep-core-0.10.0,162,213,17,9.5294,0.644144,1.707207,266.8666666666667,0.6135434017080263,281.6,86.9,1.87568,0.5294296,3.0439942,30,229,0.5782828282828283,275,36,4.5,0.585586,2.27027,180,180,189,0.5113636363636364,0.5056179775280899,0.5264623955431755,3995,4171,2749,4,6,7,40.5,27,23.1429,0.747748,0.77027,0.738739,1.283784,1.27027,1.346847
jgit-pgm-6.8.0,121,215,5,24.2,0.866013,1.168845,183.53333333333333,0.5920981510665002,238.5,57.86666666666667,2.1337266666666665,0.8014162,1.7493827,30,155,0.5535714285714286,238,22,5.5,0.835512,1.45207,135,139,140,0.5212355212355212,0.5245283018867924,0.5243445692883895,2053,2022,1143,5,8,10,24.2,15.125,12.1,0.868192,0.840959,0.824619,1.169935,1.240741,1.283224
junit-jupiter-engine-5.10.1,129,200,8,16.125,0.793434,1.374829,207.56666666666666,0.6078372114438297,272.53333333333336,70.46666666666667,1.8334666666666666,0.629731,2.5416325,30,180,0.5732484076433121,253,30,4.3,0.651163,2.120383,145,145,152,0.5234657039711191,0.5197132616487455,0.5352112676056338,3329,2376,1496,4,5,10,32.25,25.8,12.9,0.908345,0.883721,0.715458,1.103967,1.155951,1.532148
junit-platform-engine-1.10.1,135,255,9,15,0.7984,1.3536,213.56666666666666,0.6025014282006329,270.76666666666665,69.4,1.9688266666666667,0.6366933333333333,2.77408,30,173,0.5372670807453416,295,28,4.8214,0.7696,1.9184,150,155,158,0.5136986301369864,0.5290102389078498,0.531986531986532,2558,2792,1667,5,5,9,27,27,15,0.72,0.8768,0.7888,1.3216,1.1632,1.3664
