Iteration;ProjectName;StdDev;ClassCount;ClustersCount;Fitness;ExecutionTime;Memory;ExecutionAborted
3;_b01-joda-money-2.0.3 29C.odem;0;28;13;2.7777;8;134;false
3;_b01-moquette-broker-0.19 204C.odem;0;204;103;24.3960;40;133;false
3;_b01-lucene-analysis-kuromoji-11.0.0 69C.odem;0;68;41;13.2982;8;131;false
3;_b01-junit-platform-launcher-1.10.1 116C.odem;0;115;58;15.9509;13;129;false
3;_b01-jgit-http-6.8.0 61C.odem;0;61;34;10.6159;7;129;false
3;_b01-log4j-api-2.21.1 189C.odem;0;181;99;21.3581;33;127;false
3;_b01-jgit-lfs-6.8.0 41C.odem;0;41;19;4.6996;7;126;false
3;_b01-elasticsearch-geo-9.1.0 58C.odem;0;58;24;4.9765;11;125;false
3;_b01-log4j-iostreams-2.21.1 29C.odem;0;26;15;5.4026;6;125;false
3;_b01-aep-core-0.10.0 162C.odem;0;162;95;28.0249;24;123;false
3;_b01-jgit-ssh-6.8.0 100C.odem;0;98;51;15.4371;11;122;false
3;_b01-log4j-jpa-2.21.1 26C.odem;0;23;14;4.4921;5;121;false
3;_b01-jmetal-auto-6.2.2 69C.odem;0;69;31;4.5775;8;120;false
3;_b01-gson-2.10.1 212C.odem;0;212;89;18.5608;46;119;false
3;_b01-junit-platform-engine-1.10.1 136C.odem;0;135;72;18.7022;17;117;false
3;_b01-lucene-analysis-nori-11.0.0 48C.odem;0;47;27;6.4777;7;115;false
3;_b01-scribejava-apis-8.3.4 175C.odem;0;175;106;68.5811;25;115;false
3;_b01-lucene-luke-11.0.0 278C.odem;0;277;135;31.2440;89;111;false
3;_b01-jmetal-component-6.2.2 132C.odem;0;132;60;11.3549;15;108;false
3;_b01-elasticsearch-native-9.1.0 66C.odem;0;66;26;6.6614;9;107;false
3;_b01-elasticsearch-core-9.1.0 63C.odem;0;63;40;13.2534;6;106;false
3;_b01-javacc-7.0.14 190C.odem;0;190;82;12.9851;37;105;false
3;_b01-jgit-pgm-6.8.0 121C.odem;0;121;62;11.8495;13;103;false
3;_b01-lucene-codecs-11.0.0 208C.odem;0;207;113;29.1900;41;101;false
3;_b01-jmetal-lab-6.2.2 54C.odem;0;54;25;6.1514;9;243;false
3;_b01-dubbo-cluster-3.2.8 195C.odem;0;195;114;28.7537;38;241;false
3;_b01-junit-jupiter-engine-5.10.1 130C.odem;0;129;72;17.0225;17;240;false
3;_b01-log4j-layout-template-json-2.21.1 154C.odem;0;150;71;15.2923;21;238;false
3;_b01-javaGeom-0.11.3 159C.odem;0;159;68;11.6174;30;235;false
4;_b01-joda-time-2.14.0 248C.odem;0;248;120;18.3792;72;231;false
4;_b01-lucene-highlighter-11.0.0 167C.odem;0;166;92;22.7021;24;229;false
4;_b01-joda-money-2.0.3 29C.odem;0;28;14;2.7777;7;228;false
4;_b01-moquette-broker-0.19 204C.odem;0;204;112;24.3960;41;226;false
4;_b01-lucene-analysis-kuromoji-11.0.0 69C.odem;0;68;38;13.2982;7;224;false
4;_b01-junit-platform-launcher-1.10.1 116C.odem;0;115;63;15.9509;13;223;false
4;_b01-jgit-http-6.8.0 61C.odem;0;61;30;10.6159;7;222;false
4;_b01-log4j-api-2.21.1 189C.odem;0;181;100;21.3581;31;221;false
4;_b01-jgit-lfs-6.8.0 41C.odem;0;41;23;4.6996;7;220;false
4;_b01-elasticsearch-geo-9.1.0 58C.odem;0;58;27;4.9765;9;219;false
4;_b01-log4j-iostreams-2.21.1 29C.odem;0;26;16;5.4026;5;218;false
4;_b01-aep-core-0.10.0 162C.odem;0;162;91;28.0249;22;217;false
4;_b01-jgit-ssh-6.8.0 100C.odem;0;98;57;15.4371;10;216;false
4;_b01-log4j-jpa-2.21.1 26C.odem;0;23;14;4.4921;5;215;false
4;_b01-jmetal-auto-6.2.2 69C.odem;0;69;34;4.5775;7;214;false
4;_b01-gson-2.10.1 212C.odem;0;212;105;18.5608;48;212;false
4;_b01-junit-platform-engine-1.10.1 136C.odem;0;135;67;18.7022;15;211;false
4;_b01-lucene-analysis-nori-11.0.0 48C.odem;0;47;28;6.4777;8;209;false
4;_b01-scribejava-apis-8.3.4 175C.odem;0;175;112;68.5811;26;208;false
4;_b01-lucene-luke-11.0.0 278C.odem;0;277;143;31.2440;91;205;false
4;_b01-jmetal-component-6.2.2 132C.odem;0;132;62;11.3549;15;202;false
4;_b01-elasticsearch-native-9.1.0 66C.odem;0;66;35;6.6393;9;201;false
4;_b01-elasticsearch-core-9.1.0 63C.odem;0;63;42;13.2534;5;200;false
4;_b01-javacc-7.0.14 190C.odem;0;190;63;12.9909;40;198;false
4;_b01-jgit-pgm-6.8.0 121C.odem;0;121;61;11.8495;14;196;false
4;_b01-lucene-codecs-11.0.0 208C.odem;0;207;110;29.1900;42;194;false
4;_b01-jmetal-lab-6.2.2 54C.odem;0;54;17;6.1518;8;193;false
4;_b01-dubbo-cluster-3.2.8 195C.odem;0;195;107;28.7537;34;191;false
4;_b01-junit-jupiter-engine-5.10.1 130C.odem;0;129;70;17.0225;16;189;false
4;_b01-log4j-layout-template-json-2.21.1 154C.odem;0;150;73;15.2923;21;188;false
4;_b01-javaGeom-0.11.3 159C.odem;0;159;72;11.6174;41;185;false
5;_b01-joda-time-2.14.0 248C.odem;0;248;92;18.3887;78;181;false
5;_b01-lucene-highlighter-11.0.0 167C.odem;0;166;92;22.7021;25;178;false
5;_b01-joda-money-2.0.3 29C.odem;0;28;13;2.7777;9;178;false
5;_b01-moquette-broker-0.19 204C.odem;0;204;103;24.3960;40;176;false
5;_b01-lucene-analysis-kuromoji-11.0.0 69C.odem;0;68;36;13.2982;7;174;false
